gbifID;species;countryCode;decimalLatitude;decimalLongitude
2397699361;Lontra longicaudis;PE;-11.956528;-71.47699
2397613248;Lontra longicaudis;HN;14.868729;-87.965886
2397602624;Lontra longicaudis;MX;19.073152;-96.045902
2382360766;Lontra longicaudis;CO;3.523247;-73.406327
2381406056;Lontra longicaudis;MX;;
2366032876;Lontra longicaudis;EC;-1.114961;-77.586028
2365854321;Lontra longicaudis;BR;;
2365852828;Lontra longicaudis;BR;;
2365852324;Lontra longicaudis;BR;;
2350451273;Lontra longicaudis;MX;20.744487;-103.904758
2350430191;Lontra longicaudis;MX;20.649741;-105.26869
2350399050;Lontra longicaudis;CO;9.167104;-75.064021
2331896303;Lontra longicaudis;BR;-24.018061;-47.459885
2331865448;Lontra longicaudis;AR;-31.502636;-58.059643
2294587103;Lontra longicaudis;CR;9.255839;-83.791506
2294529963;Lontra longicaudis;MX;18.274106;-92.111266
2294513109;Lontra longicaudis;SV;14.384786;-89.428429
2294447176;Lontra longicaudis;GT;16.421874;-90.306298
2294339442;Lontra longicaudis;CO;1.279556;-72.626028
2283947569;Lontra longicaudis;CO;6.306111;-69.786806
2273364258;Lontra longicaudis;CO;6.016472;-76.779083
2273223732;Lontra longicaudis;MX;19.132351;-95.952751
2265808602;Lontra longicaudis;BZ;16.657412;-89.023328
2251975945;Lontra longicaudis;MX;15.680276;-96.160869
2251845048;Lontra longicaudis;BR;-16.124599;-57.611701
2251828555;Lontra longicaudis;CR;8.390891;-83.327342
2249969870;Lontra longicaudis;;;
2248832193;Lontra longicaudis;BR;;
2248831552;Lontra longicaudis;BR;;
2248830623;Lontra longicaudis;BR;;
2248830420;Lontra longicaudis;BR;;
2248830308;Lontra longicaudis;BO;;
2248830305;Lontra longicaudis;CO;;
2248829675;Lontra longicaudis;BR;;
2248829201;Lontra longicaudis;BR;;
2248828905;Lontra longicaudis;BR;;
2244337494;Lontra longicaudis;BR;-19.893023;-56.845898
2244337384;Lontra longicaudis;MX;20.676108;-103.982283
2244306124;Lontra longicaudis;PA;8.713799;-82.470591
2242928041;Lontra longicaudis;BR;-15.090085;-51.006077
2242897123;Lontra longicaudis;MX;18.606276;-95.746122
2242804511;Lontra longicaudis;MX;23.644978;-106.210539
2239000384;Lontra longicaudis;EC;-0.908016;-77.849221
2237548723;Lontra longicaudis;CO;3.92847;-76.47431
2237462258;Lontra longicaudis;MX;21.549884;-104.857951
2237461974;Lontra longicaudis;MX;21.474001;-104.89924
2237461267;Lontra longicaudis;MX;21.40738;-104.961572
2237425329;Lontra longicaudis;MX;20.789851;-103.840567
2235561043;Lontra longicaudis;MX;20.696504;-103.980971
2012988061;Lontra longicaudis;CR;8.277121;-83.312708
2012965284;Lontra longicaudis;CR;8.221047;-83.31637
2006044046;Lontra longicaudis;PA;8.287264;-82.529548
2005317943;Lontra longicaudis;PE;-4.510539;-72.805152
2005304483;Lontra longicaudis;PE;-3.439533;-72.570602
1993796108;Lontra longicaudis;CO;9.6561;-73.48864
1993753506;Lontra longicaudis;PE;-8.449201;-75.226547
1993724885;Lontra longicaudis;MX;21.995048;-98.169391
1993723447;Lontra longicaudis;MX;22.322055;-98.010009
1993723275;Lontra longicaudis;MX;22.363429;-98.141045
1990800429;Lontra longicaudis;BR;;
1990695032;Lontra longicaudis;BR;-9.756327;-56.347431
1990483240;Lontra longicaudis;AR;-28.596979;-57.112808
1987352513;Lontra longicaudis;MX;15.4424953;-92.89161104
1987339293;Lontra longicaudis;PY;-22.41667;-57.86667
1986579179;Lontra longicaudis;MX;20.547261;-103.929686
1986456329;Lontra longicaudis;CO;4.20148;-76.41657
1986456321;Lontra longicaudis;CO;4.19576;-76.41473
1986456232;Lontra longicaudis;CO;4.130926;-76.422501
1986456229;Lontra longicaudis;CO;4.08799;-76.382263
1986456215;Lontra longicaudis;CO;4.084229;-76.39735
1986456213;Lontra longicaudis;CO;4.121359;-76.435459
1986456168;Lontra longicaudis;CO;4.20356;-76.4236
1986456153;Lontra longicaudis;CO;4.086247;-76.382782
1978455059;Lontra longicaudis;CR;9.200363;-83.964592
1977888656;Lontra longicaudis;CO;;
1949984539;Lontra longicaudis;CO;5.865203;-74.947611
1949916715;Lontra longicaudis;CO;1.674333;-75.902222
1949916711;Lontra longicaudis;CO;1.6725;-75.902361
1949916599;Lontra longicaudis;CO;1.672778;-75.904222
1944406740;Lontra longicaudis;BR;-15.286399;-51.175431
1931792608;Lontra longicaudis;CO;8.551556;-75.202278
1931792504;Lontra longicaudis;CO;8.551017;-75.191083
1931792286;Lontra longicaudis;CO;8.551017;-75.191083
1931792191;Lontra longicaudis;CO;8.551556;-75.202278
1931792183;Lontra longicaudis;CO;8.551556;-75.202278
1919788912;Lontra longicaudis;;;
1919788842;Lontra longicaudis;BR;;
1919785657;Lontra longicaudis;EC;-2.2333;-81.4333
1919785024;Lontra longicaudis;VE;;
1919784795;Lontra longicaudis;PE;;
1919784067;Lontra longicaudis;MX;;
1919783919;Lontra longicaudis;;;
1919783195;Lontra longicaudis;UY;;
1919769511;Lontra longicaudis;;;
1919758221;Lontra longicaudis;BR;;
1919758177;Lontra longicaudis;CO;;
1919758155;Lontra longicaudis;BR;;
1919705416;Lontra longicaudis;BR;;
1919698323;Lontra longicaudis;;;
1919697904;Lontra longicaudis;BR;;
1913187418;Lontra longicaudis;BR;-9.484261;-55.952645
1913155216;Lontra longicaudis;MX;17.661993;-91.880193
1899807243;Lontra longicaudis;MX;20.205851;-97.99786
1895998202;Lontra longicaudis;MX;;
1895998185;Lontra longicaudis;MX;;
1895921475;Lontra longicaudis;MX;22.35624241;-105.0577824
1895921453;Lontra longicaudis;MX;23.14576291;-105.0859086
1895921428;Lontra longicaudis;MX;23.20026277;-104.5226456
1895766410;Lontra longicaudis;MX;24.927167;-106.411472
1895702997;Lontra longicaudis;MX;23.333889;-104.172222
1895692357;Lontra longicaudis;MX;;
1895692344;Lontra longicaudis;MX;19.325;-98.925
1895692239;Lontra longicaudis;MX;;
1895692229;Lontra longicaudis;MX;19.325;-98.925
1895692223;Lontra longicaudis;MX;;
1895692216;Lontra longicaudis;MX;;
1895692209;Lontra longicaudis;MX;19.325;-98.925
1895692201;Lontra longicaudis;MX;;
1895692193;Lontra longicaudis;MX;;
1895692186;Lontra longicaudis;MX;;
1895692180;Lontra longicaudis;MX;;
